word,p1,p2,p3,p4,p5
dumps,d,u,m,p,s
scaly,s,c,a,l,y
wisps,w,i,s,p,s
sores,s,o,r,e,s
mince,m,i,n,c,e
panda,p,a,n,d,a
flier,f,l,i,e,r
axles,a,x,l,e,s
plied,p,l,i,e,d
booby,b,o,o,b,y
patio,p,a,t,i,o
rabbi,r,a,b,b,i
petal,p,e,t,a,l
polyp,p,o,l,y,p
tints,t,i,n,t,s
grate,g,r,a,t,e
troll,t,r,o,l,l
tolls,t,o,l,l,s
relic,r,e,l,i,c
phony,p,h,o,n,y
bleat,b,l,e,a,t
flaws,f,l,a,w,s
flake,f,l,a,k,e
snags,s,n,a,g,s
aptly,a,p,t,l,y
drawl,d,r,a,w,l
ulcer,u,l,c,e,r
soapy,s,o,a,p,y
bossy,b,o,s,s,y
monks,m,o,n,k,s
crags,c,r,a,g,s
caged,c,a,g,e,d
twang,t,w,a,n,g
diner,d,i,n,e,r
taped,t,a,p,e,d
cadet,c,a,d,e,t
grids,g,r,i,d,s
spawn,s,p,a,w,n
guile,g,u,i,l,e
noose,n,o,o,s,e
mores,m,o,r,e,s
girth,g,i,r,t,h
slimy,s,l,i,m,y
aides,a,i,d,e,s
spasm,s,p,a,s,m
burrs,b,u,r,r,s
alibi,a,l,i,b,i
lymph,l,y,m,p,h
saucy,s,a,u,c,y
muggy,m,u,g,g,y
liter,l,i,t,e,r
joked,j,o,k,e,d
goofy,g,o,o,f,y
exams,e,x,a,m,s
enact,e,n,a,c,t
stork,s,t,o,r,k
lured,l,u,r,e,d
toxic,t,o,x,i,c
omens,o,m,e,n,s
nears,n,e,a,r,s
covet,c,o,v,e,t
wrung,w,r,u,n,g
forum,f,o,r,u,m
venom,v,e,n,o,m
moody,m,o,o,d,y
alder,a,l,d,e,r
sassy,s,a,s,s,y
flair,f,l,a,i,r
guild,g,u,i,l,d
prays,p,r,a,y,s
wrens,w,r,e,n,s
hauls,h,a,u,l,s
stave,s,t,a,v,e
tilts,t,i,l,t,s
pecks,p,e,c,k,s
stomp,s,t,o,m,p
gales,g,a,l,e,s
tempt,t,e,m,p,t
capes,c,a,p,e,s
mesas,m,e,s,a,s
omits,o,m,i,t,s
tepee,t,e,p,e,e
harry,h,a,r,r,y
wring,w,r,i,n,g
evoke,e,v,o,k,e
limes,l,i,m,e,s
cluck,c,l,u,c,k
lunge,l,u,n,g,e
highs,h,i,g,h,s
canes,c,a,n,e,s
giddy,g,i,d,d,y
lithe,l,i,t,h,e
verge,v,e,r,g,e
khaki,k,h,a,k,i
queue,q,u,e,u,e
loath,l,o,a,t,h
foyer,f,o,y,e,r
outdo,o,u,t,d,o
fared,f,a,r,e,d
deter,d,e,t,e,r
crumb,c,r,u,m,b
astir,a,s,t,i,r
spire,s,p,i,r,e
jumpy,j,u,m,p,y
extol,e,x,t,o,l
buoys,b,u,o,y,s
stubs,s,t,u,b,s
lucid,l,u,c,i,d
thong,t,h,o,n,g
afore,a,f,o,r,e
whiff,w,h,i,f,f
maxim,m,a,x,i,m
hulls,h,u,l,l,s
clogs,c,l,o,g,s
slats,s,l,a,t,s
jiffy,j,i,f,f,y
arbor,a,r,b,o,r
cinch,c,i,n,c,h
igloo,i,g,l,o,o
goody,g,o,o,d,y
gazes,g,a,z,e,s
dowel,d,o,w,e,l
calms,c,a,l,m,s
bitch,b,i,t,c,h
scowl,s,c,o,w,l
gulps,g,u,l,p,s
coded,c,o,d,e,d
waver,w,a,v,e,r
mason,m,a,s,o,n
lobes,l,o,b,e,s
ebony,e,b,o,n,y
flail,f,l,a,i,l
isles,i,s,l,e,s
clods,c,l,o,d,s
dazed,d,a,z,e,d
adept,a,d,e,p,t
oozed,o,o,z,e,d
sedan,s,e,d,a,n
clays,c,l,a,y,s
warts,w,a,r,t,s
ketch,k,e,t,c,h
skunk,s,k,u,n,k
manes,m,a,n,e,s
adore,a,d,o,r,e
sneer,s,n,e,e,r
mango,m,a,n,g,o
fiord,f,i,o,r,d
flora,f,l,o,r,a
roomy,r,o,o,m,y
minks,m,i,n,k,s
thaws,t,h,a,w,s
watts,w,a,t,t,s
freer,f,r,e,e,r
exult,e,x,u,l,t
plush,p,l,u,s,h
paled,p,a,l,e,d
twain,t,w,a,i,n
clink,c,l,i,n,k
scamp,s,c,a,m,p
pawed,p,a,w,e,d
grope,g,r,o,p,e
bravo,b,r,a,v,o
gable,g,a,b,l,e
stink,s,t,i,n,k
sever,s,e,v,e,r
waned,w,a,n,e,d
rarer,r,a,r,e,r
regal,r,e,g,a,l
wards,w,a,r,d,s
fawns,f,a,w,n,s
babes,b,a,b,e,s
unify,u,n,i,f,y
amend,a,m,e,n,d
oaken,o,a,k,e,n
glade,g,l,a,d,e
visor,v,i,s,o,r
hefty,h,e,f,t,y
nines,n,i,n,e,s
throb,t,h,r,o,b
pecan,p,e,c,a,n
butts,b,u,t,t,s
pence,p,e,n,c,e
sills,s,i,l,l,s
jails,j,a,i,l,s
flyer,f,l,y,e,r
saber,s,a,b,e,r
nomad,n,o,m,a,d
miter,m,i,t,e,r
beeps,b,e,e,p,s
domed,d,o,m,e,d
gulfs,g,u,l,f,s
curbs,c,u,r,b,s
heath,h,e,a,t,h
moors,m,o,o,r,s
aorta,a,o,r,t,a
larks,l,a,r,k,s
tangy,t,a,n,g,y
wryly,w,r,y,l,y
cheep,c,h,e,e,p
rages,r,a,g,e,s
evade,e,v,a,d,e
lures,l,u,r,e,s
freak,f,r,e,a,k
vogue,v,o,g,u,e
tunic,t,u,n,i,c
slams,s,l,a,m,s
knits,k,n,i,t,s
dumpy,d,u,m,p,y
mania,m,a,n,i,a
spits,s,p,i,t,s
firth,f,i,r,t,h
hikes,h,i,k,e,s
trots,t,r,o,t,s
nosed,n,o,s,e,d
clank,c,l,a,n,k
dogma,d,o,g,m,a
bloat,b,l,o,a,t
balsa,b,a,l,s,a
graft,g,r,a,f,t
middy,m,i,d,d,y
stile,s,t,i,l,e
keyed,k,e,y,e,d
finch,f,i,n,c,h
sperm,s,p,e,r,m
chaff,c,h,a,f,f
wiles,w,i,l,e,s
amigo,a,m,i,g,o
copra,c,o,p,r,a
amiss,a,m,i,s,s
eying,e,y,i,n,g
twirl,t,w,i,r,l
lurch,l,u,r,c,h
popes,p,o,p,e,s
chins,c,h,i,n,s
smock,s,m,o,c,k
tines,t,i,n,e,s
guise,g,u,i,s,e
grits,g,r,i,t,s
junks,j,u,n,k,s
shoal,s,h,o,a,l
cache,c,a,c,h,e
tapir,t,a,p,i,r
atoll,a,t,o,l,l
deity,d,e,i,t,y
toils,t,o,i,l,s
spree,s,p,r,e,e
mocks,m,o,c,k,s
scans,s,c,a,n,s
shorn,s,h,o,r,n
revel,r,e,v,e,l
raven,r,a,v,e,n
hoary,h,o,a,r,y
reels,r,e,e,l,s
scuff,s,c,u,f,f
mimic,m,i,m,i,c
weedy,w,e,e,d,y
corny,c,o,r,n,y
truer,t,r,u,e,r
rouge,r,o,u,g,e
ember,e,m,b,e,r
floes,f,l,o,e,s
torso,t,o,r,s,o
wipes,w,i,p,e,s
edict,e,d,i,c,t
sulky,s,u,l,k,y
recur,r,e,c,u,r
groin,g,r,o,i,n
baste,b,a,s,t,e
kinks,k,i,n,k,s
surer,s,u,r,e,r
piggy,p,i,g,g,y
moldy,m,o,l,d,y
franc,f,r,a,n,c
liars,l,i,a,r,s
inept,i,n,e,p,t
gusty,g,u,s,t,y
facet,f,a,c,e,t
jetty,j,e,t,t,y
equip,e,q,u,i,p
leper,l,e,p,e,r
slink,s,l,i,n,k
soars,s,o,a,r,s
cater,c,a,t,e,r
dowry,d,o,w,r,y
sided,s,i,d,e,d
yearn,y,e,a,r,n
decoy,d,e,c,o,y
taboo,t,a,b,o,o
ovals,o,v,a,l,s
heals,h,e,a,l,s
pleas,p,l,e,a,s
beret,b,e,r,e,t
spilt,s,p,i,l,t
gayly,g,a,y,l,y
rover,r,o,v,e,r
endow,e,n,d,o,w
pygmy,p,y,g,m,y
carat,c,a,r,a,t
abbey,a,b,b,e,y
vents,v,e,n,t,s
waken,w,a,k,e,n
chimp,c,h,i,m,p
fumed,f,u,m,e,d
sodas,s,o,d,a,s
vinyl,v,i,n,y,l
clout,c,l,o,u,t
wades,w,a,d,e,s
mites,m,i,t,e,s
smirk,s,m,i,r,k
bores,b,o,r,e,s
bunny,b,u,n,n,y
surly,s,u,r,l,y
frock,f,r,o,c,k
foray,f,o,r,a,y
purer,p,u,r,e,r
milks,m,i,l,k,s
query,q,u,e,r,y
mired,m,i,r,e,d
blare,b,l,a,r,e
froth,f,r,o,t,h
gruel,g,r,u,e,l
navel,n,a,v,e,l
paler,p,a,l,e,r
puffy,p,u,f,f,y
casks,c,a,s,k,s
grime,g,r,i,m,e
derby,d,e,r,b,y
mamma,m,a,m,m,a
gavel,g,a,v,e,l
teddy,t,e,d,d,y
vomit,v,o,m,i,t
moans,m,o,a,n,s
allot,a,l,l,o,t
defer,d,e,f,e,r
wield,w,i,e,l,d
viper,v,i,p,e,r
louse,l,o,u,s,e
erred,e,r,r,e,d
hewed,h,e,w,e,d
abhor,a,b,h,o,r
wrest,w,r,e,s,t
waxen,w,a,x,e,n
adage,a,d,a,g,e
ardor,a,r,d,o,r
stabs,s,t,a,b,s
pored,p,o,r,e,d
rondo,r,o,n,d,o
loped,l,o,p,e,d
fishy,f,i,s,h,y
bible,b,i,b,l,e
hires,h,i,r,e,s
foals,f,o,a,l,s
feuds,f,e,u,d,s
jambs,j,a,m,b,s
thuds,t,h,u,d,s
jeers,j,e,e,r,s
knead,k,n,e,a,d
quirk,q,u,i,r,k
rugby,r,u,g,b,y
expel,e,x,p,e,l
greys,g,r,e,y,s
rigor,r,i,g,o,r
ester,e,s,t,e,r
lyres,l,y,r,e,s
aback,a,b,a,c,k
glues,g,l,u,e,s
lotus,l,o,t,u,s
lurid,l,u,r,i,d
rungs,r,u,n,g,s
hutch,h,u,t,c,h
thyme,t,h,y,m,e
valet,v,a,l,e,t
tommy,t,o,m,m,y
yokes,y,o,k,e,s
epics,e,p,i,c,s
trill,t,r,i,l,l
pikes,p,i,k,e,s
ozone,o,z,o,n,e
caper,c,a,p,e,r
chime,c,h,i,m,e
frees,f,r,e,e,s
famed,f,a,m,e,d
leech,l,e,e,c,h
smite,s,m,i,t,e
neigh,n,e,i,g,h
erode,e,r,o,d,e
robed,r,o,b,e,d
hoard,h,o,a,r,d
salve,s,a,l,v,e
conic,c,o,n,i,c
gawky,g,a,w,k,y
craze,c,r,a,z,e
jacks,j,a,c,k,s
gloat,g,l,o,a,t
mushy,m,u,s,h,y
rumps,r,u,m,p,s
fetus,f,e,t,u,s
wince,w,i,n,c,e
pinks,p,i,n,k,s
shalt,s,h,a,l,t
toots,t,o,o,t,s
glens,g,l,e,n,s
cooed,c,o,o,e,d
rusts,r,u,s,t,s
stews,s,t,e,w,s
shred,s,h,r,e,d
parka,p,a,r,k,a
chugs,c,h,u,g,s
winks,w,i,n,k,s
clots,c,l,o,t,s
shrew,s,h,r,e,w
booed,b,o,o,e,d
filmy,f,i,l,m,y
juror,j,u,r,o,r
dents,d,e,n,t,s
gummy,g,u,m,m,y
grays,g,r,a,y,s
hooky,h,o,o,k,y
butte,b,u,t,t,e
dogie,d,o,g,i,e
poled,p,o,l,e,d
reams,r,e,a,m,s
fifes,f,i,f,e,s
spank,s,p,a,n,k
gayer,g,a,y,e,r
tepid,t,e,p,i,d
spook,s,p,o,o,k
taint,t,a,i,n,t
flirt,f,l,i,r,t
rogue,r,o,g,u,e
spiky,s,p,i,k,y
opals,o,p,a,l,s
miser,m,i,s,e,r
cocky,c,o,c,k,y
coyly,c,o,y,l,y
balmy,b,a,l,m,y
slosh,s,l,o,s,h
brawl,b,r,a,w,l
aphid,a,p,h,i,d
faked,f,a,k,e,d
hydra,h,y,d,r,a
brags,b,r,a,g,s
chide,c,h,i,d,e
yanks,y,a,n,k,s
allay,a,l,l,a,y
video,v,i,d,e,o
altos,a,l,t,o,s
eases,e,a,s,e,s
meted,m,e,t,e,d
chasm,c,h,a,s,m
longs,l,o,n,g,s
excel,e,x,c,e,l
taffy,t,a,f,f,y
impel,i,m,p,e,l
savor,s,a,v,o,r
koala,k,o,a,l,a
quays,q,u,a,y,s
dawns,d,a,w,n,s
proxy,p,r,o,x,y
clove,c,l,o,v,e
duets,d,u,e,t,s
dregs,d,r,e,g,s
tardy,t,a,r,d,y
briar,b,r,i,a,r
grimy,g,r,i,m,y
ultra,u,l,t,r,a
meaty,m,e,a,t,y
halve,h,a,l,v,e
wails,w,a,i,l,s
suede,s,u,e,d,e
mauve,m,a,u,v,e
envoy,e,n,v,o,y
arson,a,r,s,o,n
coves,c,o,v,e,s
gooey,g,o,o,e,y
brews,b,r,e,w,s
sofas,s,o,f,a,s
chums,c,h,u,m,s
amaze,a,m,a,z,e
zooms,z,o,o,m,s
abbot,a,b,b,o,t
halos,h,a,l,o,s
scour,s,c,o,u,r
suing,s,u,i,n,g
cribs,c,r,i,b,s
sagas,s,a,g,a,s
enema,e,n,e,m,a
wordy,w,o,r,d,y
harps,h,a,r,p,s
coupe,c,o,u,p,e
molar,m,o,l,a,r
flops,f,l,o,p,s
weeps,w,e,e,p,s
mints,m,i,n,t,s
ashen,a,s,h,e,n
felts,f,e,l,t,s
askew,a,s,k,e,w
munch,m,u,n,c,h
mewed,m,e,w,e,d
divan,d,i,v,a,n
vices,v,i,c,e,s
jumbo,j,u,m,b,o
blobs,b,l,o,b,s
blots,b,l,o,t,s
spunk,s,p,u,n,k
acrid,a,c,r,i,d
topaz,t,o,p,a,z
cubed,c,u,b,e,d
clans,c,l,a,n,s
flees,f,l,e,e,s
slurs,s,l,u,r,s
gnaws,g,n,a,w,s
welds,w,e,l,d,s
fords,f,o,r,d,s
emits,e,m,i,t,s
agate,a,g,a,t,e
pumas,p,u,m,a,s
mends,m,e,n,d,s
darks,d,a,r,k,s
dukes,d,u,k,e,s
plies,p,l,i,e,s
canny,c,a,n,n,y
hoots,h,o,o,t,s
oozes,o,o,z,e,s
lamed,l,a,m,e,d
fouls,f,o,u,l,s
clefs,c,l,e,f,s
nicks,n,i,c,k,s
mated,m,a,t,e,d
skims,s,k,i,m,s
brunt,b,r,u,n,t
tuber,t,u,b,e,r
tinge,t,i,n,g,e
fates,f,a,t,e,s
ditty,d,i,t,t,y
thins,t,h,i,n,s
frets,f,r,e,t,s
eider,e,i,d,e,r
bayou,b,a,y,o,u
mulch,m,u,l,c,h
fasts,f,a,s,t,s
amass,a,m,a,s,s
damps,d,a,m,p,s
morns,m,o,r,n,s
friar,f,r,i,a,r
palsy,p,a,l,s,y
vista,v,i,s,t,a
croon,c,r,o,o,n
conch,c,o,n,c,h
udder,u,d,d,e,r
tacos,t,a,c,o,s
skits,s,k,i,t,s
mikes,m,i,k,e,s
quits,q,u,i,t,s
preen,p,r,e,e,n
aster,a,s,t,e,r
adder,a,d,d,e,r
elegy,e,l,e,g,y
pulpy,p,u,l,p,y
scows,s,c,o,w,s
baled,b,a,l,e,d
hovel,h,o,v,e,l
lavas,l,a,v,a,s
crave,c,r,a,v,e
optic,o,p,t,i,c
welts,w,e,l,t,s
busts,b,u,s,t,s
knave,k,n,a,v,e
razed,r,a,z,e,d
shins,s,h,i,n,s
totes,t,o,t,e,s
scoot,s,c,o,o,t
dears,d,e,a,r,s
crock,c,r,o,c,k
mutes,m,u,t,e,s
trims,t,r,i,m,s
skein,s,k,e,i,n
doted,d,o,t,e,d
shuns,s,h,u,n,s
veers,v,e,e,r,s
fakes,f,a,k,e,s
yoked,y,o,k,e,d
wooed,w,o,o,e,d
hacks,h,a,c,k,s
sprig,s,p,r,i,g
wands,w,a,n,d,s
lulls,l,u,l,l,s
seers,s,e,e,r,s
snobs,s,n,o,b,s
nooks,n,o,o,k,s
pined,p,i,n,e,d
perky,p,e,r,k,y
mooed,m,o,o,e,d
frill,f,r,i,l,l
dines,d,i,n,e,s
booze,b,o,o,z,e
tripe,t,r,i,p,e
prong,p,r,o,n,g
drips,d,r,i,p,s
odder,o,d,d,e,r
levee,l,e,v,e,e
antic,a,n,t,i,c
sidle,s,i,d,l,e
pithy,p,i,t,h,y
corks,c,o,r,k,s
yelps,y,e,l,p,s
joker,j,o,k,e,r
fleck,f,l,e,c,k
buffs,b,u,f,f,s
scram,s,c,r,a,m
tiers,t,i,e,r,s
bogey,b,o,g,e,y
doled,d,o,l,e,d
irate,i,r,a,t,e
vales,v,a,l,e,s
coped,c,o,p,e,d
hails,h,a,i,l,s
elude,e,l,u,d,e
bulks,b,u,l,k,s
aired,a,i,r,e,d
vying,v,y,i,n,g
stags,s,t,a,g,s
strew,s,t,r,e,w
cocci,c,o,c,c,i
pacts,p,a,c,t,s
scabs,s,c,a,b,s
silos,s,i,l,o,s
dusts,d,u,s,t,s
yodel,y,o,d,e,l
terse,t,e,r,s,e
jaded,j,a,d,e,d
baser,b,a,s,e,r
jibes,j,i,b,e,s
foils,f,o,i,l,s
sways,s,w,a,y,s
forgo,f,o,r,g,o
slays,s,l,a,y,s
preys,p,r,e,y,s
treks,t,r,e,k,s
quell,q,u,e,l,l
peeks,p,e,e,k,s
assay,a,s,s,a,y
lurks,l,u,r,k,s
eject,e,j,e,c,t
boars,b,o,a,r,s
trite,t,r,i,t,e
belch,b,e,l,c,h
gnash,g,n,a,s,h
wanes,w,a,n,e,s
lutes,l,u,t,e,s
whims,w,h,i,m,s
dosed,d,o,s,e,d
chewy,c,h,e,w,y
snipe,s,n,i,p,e
umbra,u,m,b,r,a
teems,t,e,e,m,s
dozes,d,o,z,e,s
kelps,k,e,l,p,s
upped,u,p,p,e,d
brawn,b,r,a,w,n
doped,d,o,p,e,d
shush,s,h,u,s,h
rinds,r,i,n,d,s
slush,s,l,u,s,h
moron,m,o,r,o,n
voile,v,o,i,l,e
woken,w,o,k,e,n
fjord,f,j,o,r,d
sheik,s,h,e,i,k
jests,j,e,s,t,s
kayak,k,a,y,a,k
slews,s,l,e,w,s
toted,t,o,t,e,d
saner,s,a,n,e,r
drape,d,r,a,p,e
patty,p,a,t,t,y
raves,r,a,v,e,s
sulfa,s,u,l,f,a
grist,g,r,i,s,t
skied,s,k,i,e,d
vixen,v,i,x,e,n
civet,c,i,v,e,t
vouch,v,o,u,c,h
tiara,t,i,a,r,a
homey,h,o,m,e,y
moped,m,o,p,e,d
runts,r,u,n,t,s
serge,s,e,r,g,e
kinky,k,i,n,k,y
rills,r,i,l,l,s
corns,c,o,r,n,s
brats,b,r,a,t,s
pries,p,r,i,e,s
amble,a,m,b,l,e
fries,f,r,i,e,s
loons,l,o,o,n,s
tsars,t,s,a,r,s
datum,d,a,t,u,m
musky,m,u,s,k,y
pigmy,p,i,g,m,y
gnome,g,n,o,m,e
ravel,r,a,v,e,l
ovule,o,v,u,l,e
icily,i,c,i,l,y
liken,l,i,k,e,n
lemur,l,e,m,u,r
frays,f,r,a,y,s
silts,s,i,l,t,s
sifts,s,i,f,t,s
plods,p,l,o,d,s
ramps,r,a,m,p,s
tress,t,r,e,s,s
earls,e,a,r,l,s
dudes,d,u,d,e,s
waive,w,a,i,v,e
karat,k,a,r,a,t
jolts,j,o,l,t,s
peons,p,e,o,n,s
beers,b,e,e,r,s
horny,h,o,r,n,y
pales,p,a,l,e,s
wreak,w,r,e,a,k
lairs,l,a,i,r,s
lynch,l,y,n,c,h
stank,s,t,a,n,k
swoon,s,w,o,o,n
idler,i,d,l,e,r
abort,a,b,o,r,t
blitz,b,l,i,t,z
ensue,e,n,s,u,e
atone,a,t,o,n,e
bingo,b,i,n,g,o
roves,r,o,v,e,s
kilts,k,i,l,t,s
scald,s,c,a,l,d
adios,a,d,i,o,s
cynic,c,y,n,i,c
dulls,d,u,l,l,s
memos,m,e,m,o,s
elfin,e,l,f,i,n
dales,d,a,l,e,s
peels,p,e,e,l,s
peals,p,e,a,l,s
bares,b,a,r,e,s
sinus,s,i,n,u,s
crone,c,r,o,n,e
sable,s,a,b,l,e
hinds,h,i,n,d,s
shirk,s,h,i,r,k
enrol,e,n,r,o,l
wilts,w,i,l,t,s
roams,r,o,a,m,s
duped,d,u,p,e,d
cysts,c,y,s,t,s
mitts,m,i,t,t,s
safes,s,a,f,e,s
spats,s,p,a,t,s
coops,c,o,o,p,s
filet,f,i,l,e,t
knell,k,n,e,l,l
refit,r,e,f,i,t
covey,c,o,v,e,y
punks,p,u,n,k,s
kilns,k,i,l,n,s
fitly,f,i,t,l,y
abate,a,b,a,t,e
talcs,t,a,l,c,s
heeds,h,e,e,d,s
duels,d,u,e,l,s
wanly,w,a,n,l,y
ruffs,r,u,f,f,s
gauss,g,a,u,s,s
lapel,l,a,p,e,l
jaunt,j,a,u,n,t
whelp,w,h,e,l,p
cleat,c,l,e,a,t
gauzy,g,a,u,z,y
dirge,d,i,r,g,e
edits,e,d,i,t,s
wormy,w,o,r,m,y
moats,m,o,a,t,s
smear,s,m,e,a,r
prods,p,r,o,d,s
bowel,b,o,w,e,l
frisk,f,r,i,s,k
vests,v,e,s,t,s
bayed,b,a,y,e,d
rasps,r,a,s,p,s
tames,t,a,m,e,s
delve,d,e,l,v,e
embed,e,m,b,e,d
befit,b,e,f,i,t
wafer,w,a,f,e,r
ceded,c,e,d,e,d
novas,n,o,v,a,s
feign,f,e,i,g,n
spews,s,p,e,w,s
larch,l,a,r,c,h
huffs,h,u,f,f,s
doles,d,o,l,e,s
mamas,m,a,m,a,s
hulks,h,u,l,k,s
pried,p,r,i,e,d
brims,b,r,i,m,s
irked,i,r,k,e,d
aspic,a,s,p,i,c
swipe,s,w,i,p,e
mealy,m,e,a,l,y
skimp,s,k,i,m,p
bluer,b,l,u,e,r
slake,s,l,a,k,e
dowdy,d,o,w,d,y
penis,p,e,n,i,s
brays,b,r,a,y,s
pupas,p,u,p,a,s
egret,e,g,r,e,t
flunk,f,l,u,n,k
phlox,p,h,l,o,x
gripe,g,r,i,p,e
peony,p,e,o,n,y
douse,d,o,u,s,e
blurs,b,l,u,r,s
darns,d,a,r,n,s
slunk,s,l,u,n,k
lefts,l,e,f,t,s
chats,c,h,a,t,s
inane,i,n,a,n,e
vials,v,i,a,l,s
stilt,s,t,i,l,t
rinks,r,i,n,k,s
woofs,w,o,o,f,s
wowed,w,o,w,e,d
bongs,b,o,n,g,s
frond,f,r,o,n,d
ingot,i,n,g,o,t
evict,e,v,i,c,t
singe,s,i,n,g,e
shyer,s,h,y,e,r
flied,f,l,i,e,d
slops,s,l,o,p,s
dolts,d,o,l,t,s
drool,d,r,o,o,l
dells,d,e,l,l,s
whelk,w,h,e,l,k
hippy,h,i,p,p,y
feted,f,e,t,e,d
ether,e,t,h,e,r
cocos,c,o,c,o,s
hives,h,i,v,e,s
jibed,j,i,b,e,d
mazes,m,a,z,e,s
trios,t,r,i,o,s
sirup,s,i,r,u,p
squab,s,q,u,a,b
laths,l,a,t,h,s
leers,l,e,e,r,s
pasta,p,a,s,t,a
rifts,r,i,f,t,s
lopes,l,o,p,e,s
alias,a,l,i,a,s
whirs,w,h,i,r,s
diced,d,i,c,e,d
slags,s,l,a,g,s
lodes,l,o,d,e,s
foxed,f,o,x,e,d
idled,i,d,l,e,d
prows,p,r,o,w,s
plait,p,l,a,i,t
malts,m,a,l,t,s
chafe,c,h,a,f,e
cower,c,o,w,e,r
toyed,t,o,y,e,d
chefs,c,h,e,f,s
keels,k,e,e,l,s
sties,s,t,i,e,s
racer,r,a,c,e,r
etude,e,t,u,d,e
sucks,s,u,c,k,s
sulks,s,u,l,k,s
micas,m,i,c,a,s
czars,c,z,a,r,s
copse,c,o,p,s,e
ailed,a,i,l,e,d
abler,a,b,l,e,r
rabid,r,a,b,i,d
golds,g,o,l,d,s
croup,c,r,o,u,p
snaky,s,n,a,k,y
visas,v,i,s,a,s
palls,p,a,l,l,s
mopes,m,o,p,e,s
boned,b,o,n,e,d
wispy,w,i,s,p,y
raved,r,a,v,e,d
swaps,s,w,a,p,s
junky,j,u,n,k,y
doily,d,o,i,l,y
pawns,p,a,w,n,s
tamer,t,a,m,e,r
poach,p,o,a,c,h
baits,b,a,i,t,s
damns,d,a,m,n,s
gumbo,g,u,m,b,o
daunt,d,a,u,n,t
prank,p,r,a,n,k
hunks,h,u,n,k,s
buxom,b,u,x,o,m
heres,h,e,r,e,s
honks,h,o,n,k,s
stows,s,t,o,w,s
unbar,u,n,b,a,r
idles,i,d,l,e,s
routs,r,o,u,t,s
sages,s,a,g,e,s
goads,g,o,a,d,s
remit,r,e,m,i,t
copes,c,o,p,e,s
deign,d,e,i,g,n
culls,c,u,l,l,s
girds,g,i,r,d,s
haves,h,a,v,e,s
lucks,l,u,c,k,s
stunk,s,t,u,n,k
dodos,d,o,d,o,s
shams,s,h,a,m,s
snubs,s,n,u,b,s
icons,i,c,o,n,s
usurp,u,s,u,r,p
dooms,d,o,o,m,s
hells,h,e,l,l,s
soled,s,o,l,e,d
comas,c,o,m,a,s
paves,p,a,v,e,s
maths,m,a,t,h,s
perks,p,e,r,k,s
limps,l,i,m,p,s
wombs,w,o,m,b,s
blurb,b,l,u,r,b
daubs,d,a,u,b,s
cokes,c,o,k,e,s
sours,s,o,u,r,s
stuns,s,t,u,n,s
cased,c,a,s,e,d
musts,m,u,s,t,s
coeds,c,o,e,d,s
cowed,c,o,w,e,d
aping,a,p,i,n,g
zoned,z,o,n,e,d
rummy,r,u,m,m,y
fetes,f,e,t,e,s
skulk,s,k,u,l,k
quaff,q,u,a,f,f
rajah,r,a,j,a,h
deans,d,e,a,n,s
reaps,r,e,a,p,s
galas,g,a,l,a,s
tills,t,i,l,l,s
roved,r,o,v,e,d
kudos,k,u,d,o,s
toned,t,o,n,e,d
pared,p,a,r,e,d
scull,s,c,u,l,l
vexes,v,e,x,e,s
punts,p,u,n,t,s
snoop,s,n,o,o,p
bails,b,a,i,l,s
dames,d,a,m,e,s
hazes,h,a,z,e,s
lores,l,o,r,e,s
marts,m,a,r,t,s
voids,v,o,i,d,s
ameba,a,m,e,b,a
rakes,r,a,k,e,s
adzes,a,d,z,e,s
harms,h,a,r,m,s
rears,r,e,a,r,s
satyr,s,a,t,y,r
swill,s,w,i,l,l
hexes,h,e,x,e,s
colic,c,o,l,i,c
leeks,l,e,e,k,s
hurls,h,u,r,l,s
yowls,y,o,w,l,s
ivies,i,v,i,e,s
plops,p,l,o,p,s
musks,m,u,s,k,s
papaw,p,a,p,a,w
jells,j,e,l,l,s
bused,b,u,s,e,d
cruet,c,r,u,e,t
bided,b,i,d,e,d
filch,f,i,l,c,h
zests,z,e,s,t,s
rooks,r,o,o,k,s
laxly,l,a,x,l,y
rends,r,e,n,d,s
loams,l,o,a,m,s
basks,b,a,s,k,s
sires,s,i,r,e,s
carps,c,a,r,p,s
pokey,p,o,k,e,y
flits,f,l,i,t,s
muses,m,u,s,e,s
bawls,b,a,w,l,s
shuck,s,h,u,c,k
viler,v,i,l,e,r
lisps,l,i,s,p,s
peeps,p,e,e,p,s
sorer,s,o,r,e,r
lolls,l,o,l,l,s
prude,p,r,u,d,e
diked,d,i,k,e,d
floss,f,l,o,s,s
flogs,f,l,o,g,s
scums,s,c,u,m,s
dopes,d,o,p,e,s
bogie,b,o,g,i,e
pinky,p,i,n,k,y
leafs,l,e,a,f,s
tubas,t,u,b,a,s
scads,s,c,a,d,s
lowed,l,o,w,e,d
yeses,y,e,s,e,s
biked,b,i,k,e,d
qualm,q,u,a,l,m
evens,e,v,e,n,s
caned,c,a,n,e,d
gawks,g,a,w,k,s
whits,w,h,i,t,s
wooly,w,o,o,l,y
gluts,g,l,u,t,s
romps,r,o,m,p,s
bests,b,e,s,t,s
dunce,d,u,n,c,e
crony,c,r,o,n,y
joist,j,o,i,s,t
tunas,t,u,n,a,s
boner,b,o,n,e,r
